trolley_code,customer_code,customer_name,location_kind,days_at_location,source_wash_item_id,source_area,source_processed_at,trolley_type
T1102025T,CID-HIGH-93C6F,HIGHFIELD,CUSTOMER,2,WI20260804-01-HI2VENQK,MOP,2026-08-04 18:43:22,Large
T6142025T,CID-HIGH-93C6F,HIGHFIELD,CUSTOMER,2,WI20260804-01-HI2VENQK,MOP,2026-08-04 18:43:22,Large
T6132025T,CID-HIGH-93C6F,HIGHFIELD,CUSTOMER,2,WI20260804-01-HI2VENQK,MOP,2026-08-04 18:43:22,Large
T4852025T,CID-HIGH-93C6F,HIGHFIELD,CUSTOMER,2,WI20260803-01-P21F9AT9,FINISH,2026-08-04 10:07:28,Small
T7922025T,CID-LEOP-D2657,LEOPARDSTOWN,CUSTOMER,5,WI20260801-01-T8PVR5Q1,FINISH,2026-08-03 19:57:02,Small
T4972025T,CID-LEOP-D2657,LEOPARDSTOWN,CUSTOMER,5,WI20260801-01-T8PVR5Q1,FINISH,2026-08-03 19:57:02,Small
T2962025T,CID-LEOP-D2657,LEOPARDSTOWN,CUSTOMER,5,WI20260801-01-T8PVR5Q1,FINISH,2026-08-03 19:57:02,Small
T3162025T,CID-LEOP-D2657,LEOPARDSTOWN,CUSTOMER,5,WI20260801-01-T8PVR5Q1,FINISH,2026-08-03 19:57:02,Small
T4942025T,CID-STFI-78BBA,ST FINBARRS,CUSTOMER,9,WI20260804-01-1PYDHGKY,FINISH,2026-08-04 18:08:25,Small
T2582025T,CID-STFI-78BBA,ST FINBARRS,CUSTOMER,9,WI20260804-01-1PYDHGKY,FINISH,2026-08-04 18:08:25,Small
T6062025T,CID-STFI-78BBA,ST FINBARRS,CUSTOMER,9,WI20260804-01-1PYDHGKY,FINISH,2026-08-04 18:08:25,Small
T1352025T,CID-STFI-78BBA,ST FINBARRS,CUSTOMER,9,WI20260804-01-1PYDHGKY,FINISH,2026-08-04 18:08:25,Small
T2052025T,CID-BLOO-F6FA0,BLOOMFIELD,CUSTOMER,14,WI20260803-01-N513QL3C,FINISH,2026-08-04 08:27:10,Large
T3252025T,CID-BLOO-F6FA0,BLOOMFIELD,CUSTOMER,14,WI20260803-01-N513QL3C,FINISH,2026-08-04 08:27:10,Small
T3182025T,CID-BLOO-F6FA0,BLOOMFIELD,CUSTOMER,14,WI20260803-01-N513QL3C,FINISH,2026-08-04 08:27:10,Small
T4762025T,CID-BLOO-F6FA0,BLOOMFIELD,CUSTOMER,14,WI20260803-01-N513QL3C,FINISH,2026-08-04 08:27:10,Small
T4802025T,CID-STCO-F304C,ST COLUMBAS HOSPITAL,CUSTOMER,18,WI20260804-01-TBXH0TVH,FINISH,2026-08-04 14:57:44,Large
T3512025T,CID-STCO-F304C,ST COLUMBAS HOSPITAL,CUSTOMER,18,WI20260804-01-TBXH0TVH,FINISH,2026-08-04 14:57:44,Small
T1052025T,CID-STCO-F304C,ST COLUMBAS HOSPITAL,CUSTOMER,18,WI20260804-01-TBXH0TVH,FINISH,2026-08-04 14:57:44,Small
T2252025T,CID-STCO-F304C,ST COLUMBAS HOSPITAL,CUSTOMER,18,WI20260804-01-WHIB862W,MOP,2026-08-03 16:45:01,Small
T2062025T,CID-FARR-2003F,FARRANLEA,CUSTOMER,30,WI20260804-01-4K017PE5,MOP,2026-08-04 18:42:15,Large
T3932025T,CID-FARR-2003F,FARRANLEA,CUSTOMER,30,WI20260804-01-NZVPDZBC,FINISH,2026-08-04 17:10:20,Small
T3752025T,CID-FARR-2003F,FARRANLEA,CUSTOMER,30,WI20260804-01-NZVPDZBC,FINISH,2026-08-04 17:10:20,Small
